"P","L","Ecoef","inv","Lcost","volcost","grpsz","N","expected_vol","Leader_payment","Non_Ldr_return","Ldr_return","Flwr_return","Acephalous_return","GrpBenefitToLdr","LdrNetBenefit","volunteering","LFReturnRatio"
3,12,0.4,0.6,0,0,5,100,0.475771876219864,2.92881687077448,30.5260593005785,13.9857633741549,14.6142366258451,8,32.4427098775353,-0.62847325169021,"common",0.956995820734231
7,12,0.4,0.6,0,0,5,100,0.484293103347337,9.32209420429351,30.5260593005785,16.8644188408587,17.3355811591413,12,26.2067434774239,-0.471162318282595,"common",0.972821083183926
12,12,0.4,0.6,0,0,5,100,0.484752874930593,17.1760592072389,30.5260593005785,20.4352118414478,20.7647881585522,17,18.4943644756567,-0.329576317104422,"common",0.984128115606675
15,12,0.4,0.6,0,0,5,100,0.484959422164793,21.8845711645941,30.5260593005785,22.5769142329188,22.8230857670812,20,13.8692573012435,-0.246171534162347,"common",0.989213924152298
0,15,0.4,0.6,0,0,5,100,1,0,30.5260593005785,14,14,5,45,0,"all",1
1,15,0.4,0.6,0,0,5,100,0.52,0.00826126463701772,30.5260593005785,14.4016522529274,14.9983477470726,6,44.3950432412178,-0.596695494145193,"common",0.960215918165942
3,15,0.4,0.6,0,0,5,100,0.475533756713187,2.47048283303183,30.5260593005785,15.6940965666064,16.5059034333936,8,41.7177103001809,-0.811806866787267,"common",0.950817180649144
7,15,0.4,0.6,0,0,5,100,0.47606112523956,8.78884697599595,30.5260593005785,18.5577693951992,19.2422306048008,12,35.5266918144024,-0.684461209601618,"common",0.964429216983251
12,15,0.4,0.6,0,0,5,100,0.419627238075742,15.9350315287677,30.5260593005785,21.9870063057535,22.8129936942465,17,28.2389810827394,-0.825987388492933,"common",0.963793117222434
15,15,0.4,0.6,0,0,5,100,0.484720292072303,21.4694032287552,30.5260593005785,24.293880645751,24.706119354249,20,23.1183580627469,-0.412238708497938,"common",0.983314307577526
0,1,0.9,0.6,0,0,5,100,0.999629952010129,0,30.5260593005785,5.6,5.6,5,3,0,"most",1
1,1,0.9,0.6,0,0,5,100,0,0,30.5260593005785,6,6.6,6,2.40000000000001,-0.600000000000001,"none",0.909090909090909
3,1,0.9,0.6,0,0,5,100,0,0,30.5260593005785,6.8,8.6,8,1.2,-1.8,"none",0.790697674418605
7,1,0.9,0.6,0,0,5,100,0,0,30.5260593005785,8.4,12.6,12,-1.2,-4.2,"none",0.666666666666667
12,1,0.9,0.6,0,0,5,100,0,0,30.5260593005785,10.4,17.6,17,-4.19999999999999,-7.2,"none",0.590909090909091
15,1,0.9,0.6,0,0,5,100,0,0,30.5260593005785,11.6,20.6,20,-6,-9,"none",0.563106796116505
0,3,0.9,0.6,0,0,5,100,1,0,30.5260593005785,6.8,6.8,5,9,0,"all",1
1,3,0.9,0.6,0,0,5,100,0.273555168728456,0,30.5260593005785,7.2,7.8,6,8.4,-0.6,"rare",0.923076923076923
3,3,0.9,0.6,0,0,5,100,0,0,30.5260593005785,8,9.8,8,7.2,-1.8,"none",0.816326530612245
7,3,0.9,0.6,0,0,5,100,0,0,30.5260593005785,9.6,13.8,12,4.8,-4.2,"none",0.695652173913043
12,3,0.9,0.6,0,0,5,100,0,0,30.5260593005785,11.6,18.8,17,1.80000000000001,-7.2,"none",0.617021276595745
15,3,0.9,0.6,0,0,5,100,0,0,30.5260593005785,12.8,21.8,20,0,-9,"none",0.587155963302752
0,7,0.9,0.6,0,0,5,100,1,0,30.5260593005785,9.2,9.2,5,21,0,"all",1
1,7,0.9,0.6,0,0,5,100,0.831541101077338,0.664193761853614,30.5260593005785,10.0649356332975,10.0671612476293,6,20.3335806238146,-0.00222561433174562,"most",0.999778923345221
3,7,0.9,0.6,0,0,5,100,0.954757158046257,1.99999635702308,30.5260593005785,11.7999974499162,11.8000007285954,8,19.0000003642977,-3.27867922500502e-06,"most",0.999999722145846
7,7,0.9,0.6,0,0,5,100,0.92717815153205,4.66663367051021,30.5260593005785,15.2666435693571,15.266673265898,12,16.333336632949,-2.96965408068672e-05,"most",0.999998054812578
12,7,0.9,0.6,0,0,5,100,0.914777280706141,7.99994330708328,30.5260593005785,19.5999603149583,19.6000113385833,17,13.0000056692917,-5.10236250441665e-05,"most",0.99999739675533
15,7,0.9,0.6,0,0,5,100,0.926004288286568,9.99997607895143,30.5260593005785,22.199983255266,22.2000047842097,20,11.0000023921049,-2.15289437086597e-05,"most",0.99999903022797
0,12,0.9,0.6,0,0,5,100,1,0,30.5260593005785,12.2,12.2,5,36,0,"all",1
1,12,0.9,0.6,0,0,5,100,0.9430041705761,0.666644893292163,30.5260593005785,13.0666514253045,13.0666710213416,6,35.3333355106708,-1.95960370543702e-05,"most",0.999998500303786
3,12,0.9,0.6,0,0,5,100,0.933894843217028,1.99995662385856,30.5260593005785,14.799969636701,14.8000086752283,8,34.0000043376141,-3.90385272943661e-05,"most",0.999997362263215
7,12,0.9,0.6,0,0,5,100,0.886752335095345,4.66611275543786,30.5260593005785,18.2662789288065,18.2667774489124,12,31.3333887244562,-0.00049852010592133,"most",0.999972708918838
12,12,0.9,0.6,0,0,5,100,0.944481088379967,7.99998518907864,30.5260593005785,22.599989632355,22.6000029621843,17,28.0000014810921,-1.33298292226414e-05,"most",0.999999410184625
15,12,0.9,0.6,0,0,5,100,0.933396583035585,9.99996597158168,30.5260593005785,25.1999761801072,25.2000068056837,20,26.0000034028418,-3.06255764925822e-05,"most",0.999998784699674
0,15,0.9,0.6,0,0,5,100,1,0,30.5260593005785,14,14,5,45,0,"all",1
1,15,0.9,0.6,0,0,5,100,0.932923203031848,0.666605676146729,30.5260593005785,14.8666239733027,14.8666788647707,6,44.3333394323853,-5.48914679452395e-05,"most",0.999996307751822
3,15,0.9,0.6,0,0,5,100,0.940807880027142,1.9999684622277,30.5260593005785,16.5999779235594,16.6000063075545,8,43.0000031537772,-2.83839950689924e-05,"most",0.999998290121429
7,15,0.9,0.6,0,0,5,100,0.934894426013696,4.66661944248245,30.5260593005785,20.0666336097377,20.0666761115035,12,40.3333380557517,-4.25017657939009e-05,"most",0.999997881972801
12,15,0.9,0.6,0,0,5,100,0.947480105387696,7.9999850633787,30.5260593005785,24.3999895443651,24.4000029873243,17,37.0000014936621,-1.34429591653884e-05,"most",0.999999449059118
15,15,0.9,0.6,0,0,5,100,0.944536631752878,9.9999815692818,30.5260593005785,26.9999870984973,27.0000036861436,20,35.0000018430718,-1.65876463853465e-05,"most",0.99999938564281
0,1,1,0.6,0,0,5,100,0.999629952010129,0,30.5260593005785,5.6,5.6,5,3,0,"most",1
1,1,1,0.6,0,0,5,100,0,0,30.5260593005785,6,6.6,6,2.40000000000001,-0.600000000000001,"none",0.909090909090909
3,1,1,0.6,0,0,5,100,0,0,30.5260593005785,6.8,8.6,8,1.2,-1.8,"none",0.790697674418605
7,1,1,0.6,0,0,5,100,0,0,30.5260593005785,8.4,12.6,12,-1.2,-4.2,"none",0.666666666666667
