"P","L","Ecoef","inv","Lcost","volcost","grpsz","N","expected_vol","Leader_payment","Non_Ldr_return","Ldr_return","Flwr_return","Acephalous_return","GrpBenefitToLdr","LdrNetBenefit","volunteering","LFReturnRatio"
12,7,1,0.6,0,0,5,100,0.929629952010129,7.1999788401303,30.5260593005785,19.7599830721042,19.7600042319739,17,13.8,-2.11598696928661e-05,"most",0.999998929156621
15,7,1,0.6,0,0,5,100,1,9.00000557109542,30.5260593005785,22.4000044568763,22.3999988857809,20,12,5.57109542498324e-06,"all",1.00000024870963
0,12,1,0.6,0,0,5,100,1,0,30.5260593005785,12.2,12.2,5,36,0,"all",1
1,12,1,0.6,0,0,5,100,0.94,0.599974797391224,30.5260593005785,13.079979837913,13.0800050405218,6,35.4,-2.5202608773256e-05,"most",0.99999807319579
3,12,1,0.6,0,0,5,100,0.956773652928184,1.79999525163742,30.5260593005785,14.8399962013099,14.8400009496725,8,34.2,-4.74836258135269e-06,"most",0.999999680029496
7,12,1,0.6,0,0,5,100,1,4.20000315380619,30.5260593005785,18.360002523045,18.3599993692388,12,31.8,3.15380619397843e-06,"all",1.00000017177594
12,12,1,0.6,0,0,5,100,0.931277115933025,7.1999605480274,30.5260593005785,22.7599684384219,22.7600078903945,17,28.8,-3.94519725972486e-05,"most",0.999998266609889
15,12,1,0.6,0,0,5,100,0.931850527128584,8.99996449370881,30.5260593005785,25.399971594967,25.4000071012582,20,27,-3.55062911872039e-05,"most",0.999998602114911
0,15,1,0.6,0,0,5,100,1,0,30.5260593005785,14,14,5,45,0,"all",1
1,15,1,0.6,0,0,5,100,0.938466027011325,0.599964234480781,30.5260593005785,14.8799713875846,14.8800071531038,6,44.4,-3.57655192200212e-05,"most",0.999997596404434
3,15,1,0.6,0,0,5,100,1,1.80000363662518,30.5260593005785,16.6400029093001,16.639999272675,8,43.2,3.63662518410024e-06,"all",1.0000002185472
7,15,1,0.6,0,0,5,100,0.974435133958197,4.19999956588587,30.5260593005785,20.1599996527087,20.1600000868228,12,40.8,-4.34114131309116e-07,"most",0.999999978466561
12,15,1,0.6,0,0,5,100,0.92747765747497,7.19993238791648,30.5260593005785,24.5599459103332,24.5600135224167,17,37.8,-6.76120835194638e-05,"most",0.999997247066519
15,15,1,0.6,0,0,5,100,0.942475436700895,8.99997937559363,30.5260593005785,27.1999835004749,27.2000041248813,20,36,-2.06244063711836e-05,"most",0.999999241749881
0,1,0,0.9,0,0,5,100,1,0,30.5260593005785,5.9,5.9,5,4.5,0,"all",1
1,1,0,0.9,0,0,5,100,0,0,30.5260593005785,6,6.9,6,3.6,-0.9,"none",0.869565217391304
3,1,0,0.9,0,0,5,100,0,0,30.5260593005785,6.2,8.9,8,1.8,-2.7,"none",0.696629213483146
7,1,0,0.9,0,0,5,100,0,0,30.5260593005785,6.6,12.9,12,-1.8,-6.3,"none",0.511627906976744
12,1,0,0.9,0,0,5,100,0,0,30.5260593005785,7.1,17.9,17,-6.30000000000001,-10.8,"none",0.396648044692737
15,1,0,0.9,0,0,5,100,0,0,30.5260593005785,7.4,20.9,20,-9,-13.5,"none",0.354066985645933
0,3,0,0.9,0,0,5,100,0.999629952010129,0,30.5260593005785,7.7,7.7,5,13.5,8.88178419700125e-16,"most",1
1,3,0,0.9,0,0,5,100,0.274122141911886,0,30.5260593005785,7.8,8.7,6,12.6,-0.899999999999999,"rare",0.896551724137931
3,3,0,0.9,0,0,5,100,0,0,30.5260593005785,8,10.7,8,10.8,-2.7,"none",0.747663551401869
7,3,0,0.9,0,0,5,100,0,0,30.5260593005785,8.4,14.7,12,7.2,-6.3,"none",0.571428571428572
12,3,0,0.9,0,0,5,100,0,0,30.5260593005785,8.9,19.7,17,2.7,-10.8,"none",0.451776649746193
15,3,0,0.9,0,0,5,100,0,0,30.5260593005785,9.2,22.7,20,0,-13.5,"none",0.405286343612335
0,7,0,0.9,0,0,5,100,1,0,30.5260593005785,11.3,11.3,5,31.5,0,"all",1
1,7,0,0.9,0,0,5,100,0.420370047989871,0,30.5260593005785,11.4,12.3,6,30.6,-0.9,"common",0.926829268292683
3,7,0,0.9,0,0,5,100,0.221855257527014,0,30.5260593005785,11.6,14.3,8,28.8,-2.7,"rare",0.811188811188811
7,7,0,0.9,0,0,5,100,0,0,30.5260593005785,12,18.3,12,25.2,-6.3,"none",0.655737704918033
12,7,0,0.9,0,0,5,100,0,0,30.5260593005785,12.5,23.3,17,20.7,-10.8,"none",0.536480686695279
15,7,0,0.9,0,0,5,100,0,0,30.5260593005785,12.8,26.3,20,18,-13.5,"none",0.486692015209125
0,12,0,0.9,0,0,5,100,0.999259904020258,0,30.5260593005785,15.8,15.8,5,54,0,"most",1
1,12,0,0.9,0,0,5,100,0.493136834231069,0,30.5260593005785,15.9,16.8,6,53.1,-0.9,"common",0.946428571428571
3,12,0,0.9,0,0,5,100,0.330449555984191,0,30.5260593005785,16.1,18.8,8,51.3,-2.7,"rare",0.856382978723404
7,12,0,0.9,0,0,5,100,0.148122583600396,0,30.5260593005785,16.5,22.8,12,47.7,-6.3,"rare",0.723684210526316
12,12,0,0.9,0,0,5,100,0,0,30.5260593005785,17,27.8,17,43.2,-10.8,"none",0.611510791366906
15,12,0,0.9,0,0,5,100,0,0,30.5260593005785,17.3,30.8,20,40.5,-13.5,"none",0.561688311688312
0,15,0,0.9,0,0,5,100,1,0,30.5260593005785,18.5,18.5,5,67.5,0,"all",1
1,15,0,0.9,0,0,5,100,0.519629952010129,0,30.5260593005785,18.6,19.5,6,66.6,-0.899999999999999,"common",0.953846153846154
3,15,0,0.9,0,0,5,100,0.369034089050295,0,30.5260593005785,18.8,21.5,8,64.8,-2.7,"common",0.874418604651163
7,15,0,0.9,0,0,5,100,0.203250455384282,0,30.5260593005785,19.2,25.5,12,61.2,-6.3,"rare",0.752941176470588
12,15,0,0.9,0,0,5,100,0.0591280213672005,0,30.5260593005785,19.7,30.5,17,56.7,-10.8,"rare",0.645901639344262
15,15,0,0.9,0,0,5,100,0,0,30.5260593005785,20,33.5,20,54,-13.5,"none",0.597014925373134
0,1,0.1,0.9,0,0,5,100,1,0,30.5260593005785,5.9,5.9,5,4.5,0,"all",1
1,1,0.1,0.9,0,0,5,100,0,0,30.5260593005785,6,6.9,6,3.6,-0.9,"none",0.869565217391304
3,1,0.1,0.9,0,0,5,100,0,0,30.5260593005785,6.2,8.9,8,1.8,-2.7,"none",0.696629213483146
7,1,0.1,0.9,0,0,5,100,0,0,30.5260593005785,6.6,12.9,12,-1.8,-6.3,"none",0.511627906976744
12,1,0.1,0.9,0,0,5,100,0,0,30.5260593005785,7.1,17.9,17,-6.30000000000001,-10.8,"none",0.396648044692737
15,1,0.1,0.9,0,0,5,100,0,0,30.5260593005785,7.4,20.9,20,-9,-13.5,"none",0.354066985645933
0,3,0.1,0.9,0,0,5,100,0.999629952010129,0,30.5260593005785,7.7,7.7,5,13.5,8.88178419700125e-16,"most",1
1,3,0.1,0.9,0,0,5,100,0.274122141911886,0,30.5260593005785,7.8,8.7,6,12.6,-0.899999999999999,"rare",0.896551724137931
3,3,0.1,0.9,0,0,5,100,0,0,30.5260593005785,8,10.7,8,10.8,-2.7,"none",0.747663551401869
7,3,0.1,0.9,0,0,5,100,0,0,30.5260593005785,8.4,14.7,12,7.2,-6.3,"none",0.571428571428572
12,3,0.1,0.9,0,0,5,100,0,0,30.5260593005785,8.9,19.7,17,2.7,-10.8,"none",0.451776649746193
15,3,0.1,0.9,0,0,5,100,0,0,30.5260593005785,9.2,22.7,20,0,-13.5,"none",0.405286343612335
0,7,0.1,0.9,0,0,5,100,1,0,30.5260593005785,11.3,11.3,5,31.5,0,"all",1
1,7,0.1,0.9,0,0,5,100,0.420370047989871,0,30.5260593005785,11.4,12.3,6,30.6,-0.9,"common",0.926829268292683
3,7,0.1,0.9,0,0,5,100,0.221855257527014,0,30.5260593005785,11.6,14.3,8,28.8,-2.7,"rare",0.811188811188811
7,7,0.1,0.9,0,0,5,100,0,0,30.5260593005785,12,18.3,12,25.2,-6.3,"none",0.655737704918033
12,7,0.1,0.9,0,0,5,100,0,0,30.5260593005785,12.5,23.3,17,20.7,-10.8,"none",0.536480686695279
15,7,0.1,0.9,0,0,5,100,0,0,30.5260593005785,12.8,26.3,20,18,-13.5,"none",0.486692015209125
0,12,0.1,0.9,0,0,5,100,0.999259904020258,0,30.5260593005785,15.8,15.8,5,54,0,"most",1
1,12,0.1,0.9,0,0,5,100,0.493136834231069,0,30.5260593005785,15.9,16.8,6,53.1,-0.9,"common",0.946428571428571
3,12,0.1,0.9,0,0,5,100,0.330449555984191,0,30.5260593005785,16.1,18.8,8,51.3,-2.7,"rare",0.856382978723404
7,12,0.1,0.9,0,0,5,100,0.148122583600396,0,30.5260593005785,16.5,22.8,12,47.7,-6.3,"rare",0.723684210526316
12,12,0.1,0.9,0,0,5,100,0,0,30.5260593005785,17,27.8,17,43.2,-10.8,"none",0.611510791366906
15,12,0.1,0.9,0,0,5,100,0,0,30.5260593005785,17.3,30.8,20,40.5,-13.5,"none",0.561688311688312
0,15,0.1,0.9,0,0,5,100,1,0,30.5260593005785,18.5,18.5,5,67.5,0,"all",1
1,15,0.1,0.9,0,0,5,100,0.519629952010129,0,30.5260593005785,18.6,19.5,6,66.6,-0.899999999999999,"common",0.953846153846154
3,15,0.1,0.9,0,0,5,100,0.369034089050295,0,30.5260593005785,18.8,21.5,8,64.8,-2.7,"common",0.874418604651163
7,15,0.1,0.9,0,0,5,100,0.203250455384282,0,30.5260593005785,19.2,25.5,12,61.2,-6.3,"rare",0.752941176470588
12,15,0.1,0.9,0,0,5,100,0.0591280213672005,0,30.5260593005785,19.7,30.5,17,56.7,-10.8,"rare",0.645901639344262
15,15,0.1,0.9,0,0,5,100,0,0,30.5260593005785,20,33.5,20,54,-13.5,"none",0.597014925373134
0,1,0.4,0.9,0,0,5,100,1,0,30.5260593005785,5.9,5.9,5,4.5,0,"all",1
1,1,0.4,0.9,0,0,5,100,0,0,30.5260593005785,6,6.9,6,3.6,-0.9,"none",0.869565217391304
3,1,0.4,0.9,0,0,5,100,0,0,30.5260593005785,6.2,8.9,8,1.8,-2.7,"none",0.696629213483146
7,1,0.4,0.9,0,0,5,100,0,0,30.5260593005785,6.6,12.9,12,-1.8,-6.3,"none",0.511627906976744
12,1,0.4,0.9,0,0,5,100,0,0,30.5260593005785,7.1,17.9,17,-6.30000000000001,-10.8,"none",0.396648044692737
15,1,0.4,0.9,0,0,5,100,0,0,30.5260593005785,7.4,20.9,20,-9,-13.5,"none",0.354066985645933
0,3,0.4,0.9,0,0,5,100,0.999629952010129,0,30.5260593005785,7.7,7.7,5,13.5,8.88178419700125e-16,"most",1
1,3,0.4,0.9,0,0,5,100,0.484384202527136,1.73129377668446,30.5260593005785,8.14625875533689,8.35374124466311,6,11.5612237339893,-0.207482489326217,"common",0.975162926017278
3,3,0.4,0.9,0,0,5,100,0.484860153939377,6.44169713448408,30.5260593005785,9.28833942689682,9.41166057310318,8,6.93498171930955,-0.123321146206367,"common",0.986896983242384
7,3,0.4,0.9,0,0,5,100,0,0,30.5260593005785,8.4,14.7,12,7.2,-6.3,"none",0.571428571428572
12,3,0.4,0.9,0,0,5,100,0,0,30.5260593005785,8.9,19.7,17,2.7,-10.8,"none",0.451776649746193
15,3,0.4,0.9,0,0,5,100,0,0,30.5260593005785,9.2,22.7,20,0,-13.5,"none",0.405286343612335
0,7,0.4,0.9,0,0,5,100,1,0,30.5260593005785,11.3,11.3,5,31.5,0,"all",1
1,7,0.4,0.9,0,0,5,100,0.475569196079547,0.785260530470698,30.5260593005785,11.5570521060941,12.1429478939059,6,30.1288436817176,-0.585895787811721,"common",0.951750119251869
3,7,0.4,0.9,0,0,5,100,0.475992755275364,5.52083387107037,30.5260593005785,12.7041667742141,13.1958332257859,8,25.4874996773578,-0.491666451571852,"common",0.962740780126632
7,7,0.4,0.9,0,0,5,100,0.484629225452527,15.0272889701139,30.5260593005785,15.0054577940228,15.2945422059772,12,16.1836266179317,-0.289084411954454,"common",0.981098851599397
12,7,0.4,0.9,0,0,5,100,0.485217624645743,26.7958955223447,30.5260593005785,17.8591791044689,17.9408208955311,17,4.62246268659317,-0.0816417910621077,"common",0.995449383752421
15,7,0.4,0.9,0,0,5,100,0,0,30.5260593005785,12.8,26.3,20,18,-13.5,"none",0.486692015209125
0,12,0.4,0.9,0,0,5,100,0.999259904020258,0,30.5260593005785,15.8,15.8,5,54,0,"most",1
1,12,0.4,0.9,0,0,5,100,0.493136834231069,0,30.5260593005785,15.9,16.8,6,53.1,-0.9,"common",0.946428571428571
3,12,0.4,0.9,0,0,5,100,0.475388595578156,4.37547048315588,30.5260593005785,16.9750940966312,17.9249059033688,8,48.6747177101065,-0.949811806737646,"common",0.947011615466325
7,12,0.4,0.9,0,0,5,100,0.475967166113113,13.8494004149913,30.5260593005785,19.2698800829983,20.0301199170017,12,39.3903597510052,-0.760239834003482,"common",0.962045168119129
12,12,0.4,0.9,0,0,5,100,0.484503539682093,25.7580170881994,30.5260593005785,22.1516034176399,22.6483965823601,17,27.7451897470804,-0.496793164720241,"common",0.97806497414006
15,12,0.4,0.9,0,0,5,100,0.115972104588263,23.9099398668863,30.5260593005785,22.0819879733773,26.0180120266227,20,26.1540360798682,-3.93602405324546,"rare",0.84871926228576
0,15,0.4,0.9,0,0,5,100,1,0,30.5260593005785,18.5,18.5,5,67.5,0,"all",1
1,15,0.4,0.9,0,0,5,100,0.520370047989871,0.0109984615293401,30.5260593005785,18.6021996923059,19.4978003076941,6,66.5934009230824,-0.895600615388261,"common",0.954066581806418
3,15,0.4,0.9,0,0,5,100,0.475155996290339,3.68307913446957,30.5260593005785,19.5366158268939,20.7633841731061,8,62.5901525193183,-1.22676834621217,"common",0.940916743822467
7,15,0.4,0.9,0,0,5,100,0.475685344043785,13.1644230596139,30.5260593005785,21.8328846119228,22.8671153880772,12,53.3013461642317,-1.03423077615443,"common",0.954772136380014
12,15,0.4,0.9,0,0,5,100,0.476222036543414,24.9975733920612,30.5260593005785,24.6995146784122,25.5004853215878,17,41.7014559647633,-0.800970643175535,"common",0.968589984344437
15,15,0.4,0.9,0,0,5,100,0.267518886985905,26.7363526574595,30.5260593005785,25.3472705314919,28.1527294685081,20,37.9581884055243,-2.80545893701618,"rare",0.900348598875488
0,1,0.9,0.9,0,0,5,100,1,0,30.5260593005785,5.9,5.9,5,4.5,0,"all",1
1,1,0.9,0.9,0,0,5,100,0,0,30.5260593005785,6,6.9,6,3.6,-0.9,"none",0.869565217391304
3,1,0.9,0.9,0,0,5,100,0,0,30.5260593005785,6.2,8.9,8,1.8,-2.7,"none",0.696629213483146
7,1,0.9,0.9,0,0,5,100,0,0,30.5260593005785,6.6,12.9,12,-1.8,-6.3,"none",0.511627906976744
12,1,0.9,0.9,0,0,5,100,0,0,30.5260593005785,7.1,17.9,17,-6.30000000000001,-10.8,"none",0.396648044692737
15,1,0.9,0.9,0,0,5,100,0,0,30.5260593005785,7.4,20.9,20,-9,-13.5,"none",0.354066985645933
0,3,0.9,0.9,0,0,5,100,0.999629952010129,0,30.5260593005785,7.7,7.7,5,13.5,8.88178419700125e-16,"most",1
1,3,0.9,0.9,0,0,5,100,0.954997730743048,0.999997668326443,30.5260593005785,8.49999836782851,8.50000046633471,6,12.5000002331674,-2.09850620080942e-06,"most",0.999999753116931
3,3,0.9,0.9,0,0,5,100,0.937053435045568,2.99998966438784,30.5260593005785,10.0999927650715,10.1000020671224,8,10.5000010335612,-9.30205094284986e-06,"most",0.999999079005046
7,3,0.9,0.9,0,0,5,100,0.903289979750562,6.99994727609736,30.5260593005785,13.2999630932682,13.3000105447805,12,6.50000527239027,-4.74515123780606e-05,"most",0.999996432219943
12,3,0.9,0.9,0,0,5,100,0,0,30.5260593005785,8.9,19.7,17,2.7,-10.8,"none",0.451776649746193
15,3,0.9,0.9,0,0,5,100,0,0,30.5260593005785,9.2,22.7,20,0,-13.5,"none",0.405286343612335
0,7,0.9,0.9,0,0,5,100,1,0,30.5260593005785,11.3,11.3,5,31.5,0,"all",1
1,7,0.9,0.9,0,0,5,100,0.931124951606616,0.999952683192984,30.5260593005785,12.0999668782351,12.1000094633614,6,30.5000047316807,-4.25851263141652e-05,"most",0.999996480570826
3,7,0.9,0.9,0,0,5,100,0.930370047989871,2.99995283870311,30.5260593005785,13.6999669870922,13.7000094322594,8,28.5000047161297,-4.24451672049742e-05,"most",0.999996901814746
7,7,0.9,0.9,0,0,5,100,0.93355241025417,6.99996818352755,30.5260593005785,16.8999777284693,16.9000063632945,12,24.5000031816473,-2.86348252096502e-05,"most",0.999998305632282
12,7,0.9,0.9,0,0,5,100,0.918832367106267,11.9999335351909,30.5260593005785,20.8999534746336,20.9000132929618,17,19.5000066464809,-5.98183282036757e-05,"most",0.999997137880854
15,7,0.9,0.9,0,0,5,100,0.924834532303536,14.9999611778712,30.5260593005785,23.2999728245098,23.3000077644258,20,16.5000038822129,-3.49399159524921e-05,"most",0.999998500433291
0,12,0.9,0.9,0,0,5,100,0.999259904020258,0,30.5260593005785,15.8,15.8,5,54,0,"most",1
1,12,0.9,0.9,0,0,5,100,0.937453860975279,0.99994853085876,30.5260593005785,16.5999639716011,16.6000102938282,6,53.0000051469141,-4.63222271172015e-05,"most",0.999997209506121
3,12,0.9,0.9,0,0,5,100,0.943872142182697,2.99997075328922,30.5260593005785,18.1999795273025,18.2000058493422,8,51.0000029246711,-2.63220396981012e-05,"most",0.999998553734547
7,12,0.9,0.9,0,0,5,100,0.951381455240487,6.99998690561556,30.5260593005785,21.3999908339309,21.4000026188769,12,47.0000013094384,-1.17849459968511e-05,"most",0.999999449301656
12,12,0.9,0.9,0,0,5,100,0.941902730411781,11.9999718985024,30.5260593005785,25.3999803289517,25.4000056202995,17,42.0000028101498,-2.52913478249184e-05,"most",0.999999004277865
15,12,0.9,0.9,0,0,5,100,0.951486088415165,14.9999893146595,30.5260593005785,27.7999925202616,27.8000021370681,20,39.0000010685341,-9.61680649425034e-06,"most",0.999999654071735
0,15,0.9,0.9,0,0,5,100,1,0,30.5260593005785,18.5,18.5,5,67.5,0,"all",1
1,15,0.9,0.9,0,0,5,100,0.931427330728282,0.999897910376103,30.5260593005785,19.2999285372633,19.3000204179248,6,66.5000102089624,-9.18806615004542e-05,"most",0.999995239349
3,15,0.9,0.9,0,0,5,100,0.932305859117679,2.99990720818904,30.5260593005785,20.8999350457323,20.9000185583622,8,64.5000092791811,-8.35126298603939e-05,"most",0.999996004183938
7,15,0.9,0.9,0,0,5,100,0.947689696992756,6.99997585214453,30.5260593005785,24.0999830965012,24.1000048295711,12,60.5000024147856,-2.17330699214813e-05,"most",0.999999098213047
12,15,0.9,0.9,0,0,5,100,0.943521631496718,11.999967441948,30.5260593005785,28.0999772093636,28.1000065116104,17,55.5000032558052,-2.93022467658943e-05,"most",0.999998957215659
15,15,0.9,0.9,0,0,5,100,0.933560064241762,14.9999317077262,30.5260593005785,30.4999521954083,30.5000136584548,20,52.5000068292274,-6.14630464141896e-05,"most",0.999997984819053
0,1,1,0.9,0,0,5,100,1,0,30.5260593005785,5.9,5.9,5,4.5,0,"all",1
1,1,1,0.9,0,0,5,100,0,0,30.5260593005785,6,6.9,6,3.6,-0.9,"none",0.869565217391304
3,1,1,0.9,0,0,5,100,0,0,30.5260593005785,6.2,8.9,8,1.8,-2.7,"none",0.696629213483146
7,1,1,0.9,0,0,5,100,0,0,30.5260593005785,6.6,12.9,12,-1.8,-6.3,"none",0.511627906976744
12,1,1,0.9,0,0,5,100,0,0,30.5260593005785,7.1,17.9,17,-6.30000000000001,-10.8,"none",0.396648044692737
15,1,1,0.9,0,0,5,100,0,0,30.5260593005785,7.4,20.9,20,-9,-13.5,"none",0.354066985645933
0,3,1,0.9,0,0,5,100,0.999629952010129,0,30.5260593005785,7.7,7.7,5,13.5,8.88178419700125e-16,"most",1
1,3,1,0.9,0,0,5,100,0.970720146187971,0.899999732101953,30.5260593005785,8.51999978568156,8.52000005357961,6,12.6,-2.6789804685734e-07,"most",0.999999968556567
3,3,1,0.9,0,0,5,100,0.92,2.69996888971552,30.5260593005785,10.1599751117724,10.1600062220569,8,10.8,-3.1110284480107e-05,"most",0.999996937966001
7,3,1,0.9,0,0,5,100,0.907353744048867,6.29995746570731,30.5260593005785,13.4399659725658,13.4400085068585,12,7.2,-4.25342926906325e-05,"most",0.999996835248083
12,3,1,0.9,0,0,5,100,0.936796534294339,10.7999975773519,30.5260593005785,17.5399980618815,17.5400004845296,17,2.69999999999999,-2.42264813365978e-06,"most",0.999999861878674
15,3,1,0.9,0,0,5,100,0,0,30.5260593005785,9.2,22.7,20,0,-13.5,"none",0.405286343612335
0,7,1,0.9,0,0,5,100,1,0,30.5260593005785,11.3,11.3,5,31.5,0,"all",1
1,7,1,0.9,0,0,5,100,0.937187161271867,0.899972843219072,30.5260593005785,12.1199782745753,12.1200054313562,6,30.6,-2.71567809306816e-05,"most",0.999997759342511
3,7,1,0.9,0,0,5,100,0.93650623436439,2.69997315050305,30.5260593005785,13.7599785204024,13.7600053698994,8,28.8,-2.68494969546396e-05,"most",0.999998048729181
7,7,1,0.9,0,0,5,100,0.945367881997592,6.29998889834857,30.5260593005785,17.0399911186789,17.0400022203303,12,25.2,-1.11016514310336e-05,"most",0.999999348494719
12,7,1,0.9,0,0,5,100,1,10.8000037608505,30.5260593005785,21.1400030086804,21.1399992478299,17,20.7,3.76085050390884e-06,"all",1.00000017790211
15,7,1,0.9,0,0,5,100,0.967733849521544,13.4999994012153,30.5260593005785,23.5999995209722,23.6000001197569,20,18,-5.9878471958541e-07,"most",0.999999974627766
0,12,1,0.9,0,0,5,100,0.999259904020258,0,30.5260593005785,15.8,15.8,5,54,0,"most",1
1,12,1,0.9,0,0,5,100,0.958009640290207,0.899993439714423,30.5260593005785,16.6199947517715,16.6200013120571,6,53.1,-6.56028557699528e-06,"most",0.999999605277674
3,12,1,0.9,0,0,5,100,0.933292693966628,2.69993822659141,30.5260593005785,18.2599505812731,18.2600123546817,8,51.3,-6.1773408585708e-05,"most",0.999996617011676
7,12,1,0.9,0,0,5,100,0.944287334134282,6.29997671059673,30.5260593005785,21.5399813684774,21.5400046578807,12,47.7,-2.32894032663467e-05,"most",0.99999891878374
12,12,1,0.9,0,0,5,100,0.93533233439565,10.799956082904,30.5260593005785,25.6399648663232,25.6400087834192,17,43.2,-4.39170960113699e-05,"most",0.999998287165329
15,12,1,0.9,0,0,5,100,0.955893495653879,13.4999938413262,30.5260593005785,28.0999950730609,28.1000012317348,20,40.5,-6.15867382336432e-06,"most",0.999999780830123
0,15,1,0.9,0,0,5,100,1,0,30.5260593005785,18.5,18.5,5,67.5,0,"all",1
1,15,1,0.9,0,0,5,100,0.951193093293081,0.899982813540382,30.5260593005785,19.3199862508323,19.3200034372919,6,66.6,-1.71864596154592e-05,"most",0.999999110431855
3,15,1,0.9,0,0,5,100,0.944889813914983,2.69996980152518,30.5260593005785,20.9599758412201,20.960006039695,8,64.8,-3.01984748176665e-05,"most",0.999998559233487
7,15,1,0.9,0,0,5,100,0.946623769586698,6.29997573723998,30.5260593005785,24.239980589792,24.240004852552,12,61.2,-2.42627600215428e-05,"most",0.999998999061256
12,15,1,0.9,0,0,5,100,0.942177959972297,10.7999665251959,30.5260593005785,28.3399732201567,28.3400066949608,17,56.7,-3.34748041055377e-05,"most",0.999998818814531
15,15,1,0.9,0,0,5,100,0.953491287112057,13.4999890408708,30.5260593005785,30.7999912326966,30.8000021918258,20,54,-1.09591291952427e-05,"most",0.999999644184142
0,1,0,0.1,0.5,0,5,100,0,0,30.5260593005785,4.6,5.1,5,0,-0.5,"none",0.901960784313726
1,1,0,0.1,0.5,0,5,100,0,0,30.5260593005785,5.5,6.1,6,-0.100000000000001,-0.6,"none",0.901639344262295
3,1,0,0.1,0.5,0,5,100,0,0,30.5260593005785,7.3,8.1,8,-0.300000000000004,-0.8,"none",0.901234567901235
7,1,0,0.1,0.5,0,5,100,0,0,30.5260593005785,10.9,12.1,12,-0.700000000000003,-1.2,"none",0.900826446280992
12,1,0,0.1,0.5,0,5,100,0,0,30.5260593005785,15.4,17.1,17,-1.19999999999999,-1.7,"none",0.900584795321637
15,1,0,0.1,0.5,0,5,100,0,0,30.5260593005785,18.1,20.1,20,-1.5,-2,"none",0.900497512437811
0,3,0,0.1,0.5,0,5,100,0,0,30.5260593005785,4.8,5.3,5,1,-0.5,"none",0.905660377358491
1,3,0,0.1,0.5,0,5,100,0,0,30.5260593005785,5.7,6.3,6,0.899999999999999,-0.6,"none",0.904761904761905
3,3,0,0.1,0.5,0,5,100,0,0,30.5260593005785,7.5,8.3,8,0.700000000000003,-0.800000000000001,"none",0.903614457831325
7,3,0,0.1,0.5,0,5,100,0,0,30.5260593005785,11.1,12.3,12,0.300000000000004,-1.2,"none",0.902439024390244
12,3,0,0.1,0.5,0,5,100,0,0,30.5260593005785,15.6,17.3,17,-0.199999999999989,-1.7,"none",0.901734104046243
15,3,0,0.1,0.5,0,5,100,0,0,30.5260593005785,18.3,20.3,20,-0.5,-2,"none",0.901477832512315
0,7,0,0.1,0.5,0,5,100,0.0907903541472347,0,30.5260593005785,5.2,5.7,5,3,-0.500000000000001,"rare",0.912280701754386
1,7,0,0.1,0.5,0,5,100,0.0364451269208031,0,30.5260593005785,6.1,6.7,6,2.9,-0.599999999999999,"rare",0.91044776119403
3,7,0,0.1,0.5,0,5,100,0,0,30.5260593005785,7.9,8.7,8,2.7,-0.799999999999999,"none",0.908045977011494
7,7,0,0.1,0.5,0,5,100,0,0,30.5260593005785,11.5,12.7,12,2.3,-1.2,"none",0.905511811023622
12,7,0,0.1,0.5,0,5,100,0,0,30.5260593005785,16,17.7,17,1.8,-1.7,"none",0.903954802259887
15,7,0,0.1,0.5,0,5,100,0,0,30.5260593005785,18.7,20.7,20,1.5,-2,"none",0.903381642512077
0,12,0,0.1,0.5,0,5,100,0.226292725065335,0,30.5260593005785,5.7,6.2,5,5.5,-0.5,"rare",0.919354838709677
1,12,0,0.1,0.5,0,5,100,0.184173690120082,0,30.5260593005785,6.6,7.2,6,5.4,-0.6,"rare",0.916666666666667
3,12,0,0.1,0.5,0,5,100,0.11,0,30.5260593005785,8.4,9.2,8,5.2,-0.799999999999999,"rare",0.91304347826087
7,12,0,0.1,0.5,0,5,100,0,0,30.5260593005785,12,13.2,12,4.80000000000001,-1.2,"none",0.909090909090909
12,12,0,0.1,0.5,0,5,100,0,0,30.5260593005785,16.5,18.2,17,4.3,-1.7,"none",0.906593406593407
15,12,0,0.1,0.5,0,5,100,0,0,30.5260593005785,19.2,21.2,20,4,-2,"none",0.905660377358491
0,15,0,0.1,0.5,0,5,100,0.273555168728456,0,30.5260593005785,6,6.5,5,7,-0.499999999999999,"rare",0.923076923076923
1,15,0,0.1,0.5,0,5,100,0.235279613047802,0,30.5260593005785,6.9,7.5,6,6.90000000000001,-0.600000000000001,"rare",0.92
3,15,0,0.1,0.5,0,5,100,0.16838666699879,0,30.5260593005785,8.7,9.5,8,6.7,-0.800000000000001,"rare",0.91578947368421
7,15,0,0.1,0.5,0,5,100,0.0576140326878011,0,30.5260593005785,12.3,13.5,12,6.3,-1.2,"rare",0.911111111111111
12,15,0,0.1,0.5,0,5,100,0,0,30.5260593005785,16.8,18.5,17,5.8,-1.7,"none",0.908108108108108
15,15,0,0.1,0.5,0,5,100,0,0,30.5260593005785,19.5,21.5,20,5.5,-2,"none",0.906976744186046
0,1,0.1,0.1,0.5,0,5,100,0,0,30.5260593005785,4.6,5.1,5,0,-0.5,"none",0.901960784313726
1,1,0.1,0.1,0.5,0,5,100,0,0,30.5260593005785,5.5,6.1,6,-0.100000000000001,-0.6,"none",0.901639344262295
