"P","L","LL","Ecoef","Lcost","volcost","grpsz","Nvols","Leader_payment","Leader_inv","Leader_return","Follower_return","No_Ldr_Return"
15,1,0.1,0.1,0.1,0,5,0,0,NA,20,20.1,20.1
0,3,0.1,0.1,0.1,0,5,1,0,1,7.9,8,5.1
1,3,0.1,0.1,0.1,0,5,1,0,1,7.9,9,6.1
3,3,0.1,0.1,0.1,0,5,0,0,NA,8,8.1,8.1
7,3,0.1,0.1,0.1,0,5,0,0,NA,12,12.1,12.1
15,3,0.1,0.1,0.1,0,5,0,0,NA,20,20.1,20.1
0,7,0.1,0.1,0.1,0,5,1,0,1,11.9,12,5.1
1,7,0.1,0.1,0.1,0,5,1,0,1,11.9,13,6.1
3,7,0.1,0.1,0.1,0,5,1,0,1,11.9,15,8.1
7,7,0.1,0.1,0.1,0,5,0,0,NA,12,12.1,12.1
15,7,0.1,0.1,0.1,0,5,0,0,NA,20,20.1,20.1
0,15,0.1,0.1,0.1,0,5,1,0,1,19.9,20,5.1
1,15,0.1,0.1,0.1,0,5,1,0,1,19.9,21,6.1
3,15,0.1,0.1,0.1,0,5,1,0,1,19.9,23,8.1
7,15,0.1,0.1,0.1,0,5,1,0,1,19.9,27,12.1
15,15,0.1,0.1,0.1,0,5,0,0,NA,20,20.1,20.1
0,1,0.4,0.1,0.1,0,5,1,0,1,5.9,6,5.4
1,1,0.4,0.1,0.1,0,5,0,0,NA,6.3,6.4,6.4
3,1,0.4,0.1,0.1,0,5,0,0,NA,8.3,8.4,8.4
7,1,0.4,0.1,0.1,0,5,0,0,NA,12.3,12.4,12.4
15,1,0.4,0.1,0.1,0,5,0,0,NA,20.3,20.4,20.4
0,3,0.4,0.1,0.1,0,5,1,0,1,7.9,8,5.4
1,3,0.4,0.1,0.1,0,5,1,0,1,7.9,9,6.4
3,3,0.4,0.1,0.1,0,5,0,0,NA,8.3,8.4,8.4
7,3,0.4,0.1,0.1,0,5,0,0,NA,12.3,12.4,12.4
15,3,0.4,0.1,0.1,0,5,0,0,NA,20.3,20.4,20.4
0,7,0.4,0.1,0.1,0,5,1,0,1,11.9,12,5.4
1,7,0.4,0.1,0.1,0,5,1,0,1,11.9,13,6.4
3,7,0.4,0.1,0.1,0,5,1,0,1,11.9,15,8.4
7,7,0.4,0.1,0.1,0,5,0,0,NA,12.3,12.4,12.4
15,7,0.4,0.1,0.1,0,5,0,0,NA,20.3,20.4,20.4
0,15,0.4,0.1,0.1,0,5,1,0,1,19.9,20,5.4
1,15,0.4,0.1,0.1,0,5,1,0,1,19.9,21,6.4
3,15,0.4,0.1,0.1,0,5,1,0,1,19.9,23,8.4
7,15,0.4,0.1,0.1,0,5,1,0,1,19.9,27,12.4
15,15,0.4,0.1,0.1,0,5,0,0,NA,20.3,20.4,20.4
