"P","L","Ecoef","Lcost","volcost","grpsz","N","expected_vol","Leader_payment","Leader_inv","Leader_return","Follower_return","No_Ldr_Return"
1,3,0.4,0,0,5,100,0.272564068236305,0,0.502010261381163,7.00402052276233,7.50603078414349,6
3,3,0.4,0,0,5,100,0,0,0,8,8,8
7,3,0.4,0,0,5,100,0.00198019801980198,0,0,12,12,12
12,3,0.4,0,0,5,100,0,0,0,17,17,17
15,3,0.4,0,0,5,100,0,0,0,20,20,20
0,7,0.4,0,0,5,100,0.99009900990099,6.83053888394562e-05,0.505,8.53501366107777,8.53498633892223,5
1,7,0.4,0,0,5,100,0.417183176051894,0,0.503164378652362,9.01898627191417,9.52215065056653,6
3,7,0.4,0,0,5,100,0.218476313021889,0,0.506241273223783,10.0249650928951,11.5436889125665,8
7,7,0.4,0,0,5,100,0.36885256908984,4.90318843523629,0.233043694409285,12.9806376870473,12.6506681738177,12
12,7,0.4,0,0,5,100,0,0,0,17,17,17
15,7,0.4,0,0,5,100,0,0,0,20,20,20
0,12,0.4,0,0,5,100,0.99009900990099,6.83053888394562e-05,0.505,11.0600136610778,11.0599863389222,5
1,12,0.4,0,0,5,100,0.489275951902336,0,0.503460027929398,11.5380603072234,12.0415203351528,6
3,12,0.4,0,0,5,100,0.32594076788591,0,0.505925551528041,12.5533299637524,14.0711066183365,8
7,12,0.4,0,0,5,100,0.14743305012589,0,0.500086298492646,14.5004314924632,18.0010355819118,12
12,12,0.4,0,0,5,100,0.366865253816169,8.40000593805349,0.234372808096475,18.6800011876107,18.132472509547,17
15,12,0.4,0,0,5,100,0.560007070513969,18.7642421291325,0.299698496835079,22.6972864715157,20,20
0,15,0.4,0,0,5,100,0.990069699169119,0,0.505005217831125,12.5750782674669,12.5750782674669,5
1,15,0.4,0,0,5,100,0.51563656891308,0,0.50348851968773,13.0488392756282,13.5523277953159,6
3,15,0.4,0,0,5,100,0.364190200616295,0,0.505828253035041,14.0699390364205,15.5874237955256,8
7,15,0.4,0,0,5,100,0.201814650905017,0,0.501687330982767,16.0134986478621,19.5253099647415,12
12,15,0.4,0,0,5,100,0.0577857618029857,0,0.507869244760756,18.5236077342823,24.6180386714113,17
15,15,0.4,0,0,5,100,0.378516059591836,10.8750040353994,0.239357946364469,22.1750008070799,21.4153683883872,20
0,1,0.9,0,0,5,100,0.990014741546861,0,0.504995614558071,5.50499561455807,5.50499561455807,5
1,1,0.9,0,0,5,100,0.00198019801980198,0,0,6,6,6
3,1,0.9,0,0,5,100,0,0,0,8,8,8
7,1,0.9,0,0,5,100,0.00198019801980198,0,0,12,12,12
12,1,0.9,0,0,5,100,0,0,0,17,17,17
15,1,0.9,0,0,5,100,0,0,0,20,20,20
0,3,0.9,0,0,5,100,0.990022069229829,0,0.504998760242892,6.51499628072868,6.51499628072868,5
1,3,0.9,0,0,5,100,0.272564068236305,0,0.502010261381163,7.00402052276233,7.50603078414349,6
3,3,0.9,0,0,5,100,0,0,0,8,8,8
7,3,0.9,0,0,5,100,0.00198019801980198,0,0,12,12,12
12,3,0.9,0,0,5,100,0,0,0,17,17,17
15,3,0.9,0,0,5,100,0,0,0,20,20,20
0,7,0.9,0,0,5,100,0.99009900990099,6.83053888394562e-05,0.505,8.53504781377219,8.53498633892223,5
1,7,0.9,0,0,5,100,0.417183176051894,0,0.503164378652362,9.01898627191417,9.52215065056653,6
3,7,0.9,0,0,5,100,0.218476313021889,0,0.506241273223783,10.0249650928951,11.5436889125665,8
7,7,0.9,0,0,5,100,0.985004736146443,7.62414101629683,0.500462735624119,17.3368987114078,13.9784109461095,12
12,7,0.9,0,0,5,100,0.855832216432397,10.666716395579,0.440833613484,22.2625334094853,17.9524920152722,17
15,7,0.9,0,0,5,100,0.719892402063922,11.3333605972949,0.371998353632071,24.9573655890498,20.3373163559655,20
0,12,0.9,0,0,5,100,0.99009900990099,6.83053888394562e-05,0.505,11.0600478137722,11.0599863389222,5
1,12,0.9,0,0,5,100,0.489275951902336,0,0.503460027929398,11.5380603072234,12.0415203351528,6
3,12,0.9,0,0,5,100,0.32594076788591,0,0.505925551528041,12.5533299637524,14.0711066183365,8
7,12,0.9,0,0,5,100,0.14743305012589,0,0.500086298492646,14.5004314924632,18.0010355819118,12
12,12,0.9,0,0,5,100,0.978793492839738,12.9333721365856,0.499388830338753,26.0533604956099,20.4059915367479,17
15,12,0.9,0,0,5,100,0.945538154600803,15.167253594533,0.483387720777107,29.1669143538418,22.7672019304187,20
0,15,0.9,0,0,5,100,0.990069699169119,0,0.505005217831125,12.5750782674669,12.5750782674669,5
1,15,0.9,0,0,5,100,0.51563656891308,0,0.50348851968773,13.0488392756282,13.5523277953159,6
3,15,0.9,0,0,5,100,0.364190200616295,0,0.505828253035041,14.0699390364205,15.5874237955256,8
7,15,0.9,0,0,5,100,0.201814650905017,0,0.501687330982767,16.0134986478621,19.5253099647415,12
12,15,0.9,0,0,5,100,0.0577857618029857,0,0.507869244760756,18.5236077342823,24.6180386714113,17
15,15,0.9,0,0,5,100,0.978795148403319,16.166739327176,0.499389661047621,31.3167175290232,24.2574970502791,20
0,1,1,0,0,5,100,0.990014741546861,0,0.504995614558071,5.50499561455807,5.50499561455807,5
1,1,1,0,0,5,100,0.00198019801980198,0,0,6,6,6
3,1,1,0,0,5,100,0,0,0,8,8,8
7,1,1,0,0,5,100,0.00198019801980198,0,0,12,12,12
12,1,1,0,0,5,100,0,0,0,17,17,17
15,1,1,0,0,5,100,0,0,0,20,20,20
0,3,1,0,0,5,100,0.990022069229829,0,0.504998760242892,6.51499628072868,6.51499628072868,5
1,3,1,0,0,5,100,0.272564068236305,0,0.502010261381163,7.00402052276233,7.50603078414349,6
3,3,1,0,0,5,100,0,0,0,8,8,8
7,3,1,0,0,5,100,0.00198019801980198,0,0,12,12,12
12,3,1,0,0,5,100,0,0,0,17,17,17
15,3,1,0,0,5,100,0,0,0,20,20,20
0,7,1,0,0,5,100,0.99009900990099,6.83053888394562e-05,0.505,8.53505464431107,8.53498633892223,5
