"P","L","Ecoef","Lcost","volcost","grpsz","N","expected_vol","Leader_payment","Leader_inv","Non_Ldr_return","Ldr_return","Flwr_return","Acephalous_return"
15,15,0.1,0,0,5,100,0,0,0,20.3121699752322,20,21.5,20
0,1,0.4,0,0,5,100,0.990014741546861,0,0.504995614558071,20.3121699752322,5.1,5.1,5
1,1,0.4,0,0,5,100,0.113610460197907,0.200030151684727,0.0998608632360628,20.3121699752322,6.04000603033695,6.05999396966305,6
3,1,0.4,0,0,5,100,0,0,0,20.3121699752322,7.8,8.1,8
7,1,0.4,0,0,5,100,0.00198019801980198,0,0,20.3121699752322,11.4,12.1,12
12,1,0.4,0,0,5,100,0,0,0,20.3121699752322,15.9,17.1,17
15,1,0.4,0,0,5,100,0,0,0,20.3121699752322,18.6,20.1,20
0,3,0.4,0,0,5,100,0.990022069229829,0,0.504998760242892,20.3121699752322,5.3,5.3,5
1,3,0.4,0,0,5,100,0.300634375502715,0.050043842081912,0.4670060556015,20.3121699752322,6.21000876841638,6.28999123158362,6
3,3,0.4,0,0,5,100,0.125811991513785,0.675068861999344,0.112922207294554,20.3121699752322,8.13501377239987,8.16498622760013,8
7,3,0.4,0,0,5,100,0.00198019801980198,0,0,20.3121699752322,11.6,12.3,12
12,3,0.4,0,0,5,100,0,0,0,20.3121699752322,16.1,17.3,17
15,3,0.4,0,0,5,100,0,0,0,20.3121699752322,18.8,20.3,20
0,7,0.4,0,0,5,100,0.990055043803184,0,0.504996521394425,20.3121699752322,5.7,5.7,5
1,7,0.4,0,0,5,100,0.417183176051894,0,0.503164378652362,20.3121699752322,6.6,6.7,6
3,7,0.4,0,0,5,100,0.274792934848084,0.300054723340112,0.431266820267933,20.3121699752322,8.46001094466802,8.63998905533198,8
7,7,0.4,0,0,5,100,0.11374067862359,1.40000878209364,0.100283044197253,20.3121699752322,12.2800017564187,12.4199982435813,12
12,7,0.4,0,0,5,100,0.0595321185235983,1.80002320901237,0.0350741822673774,20.3121699752322,16.8600046418025,17.3399953581975,17
15,7,0.4,0,0,5,100,0,0,0,20.3121699752322,19.2,20.7,20
0,12,0.4,0,0,5,100,0.990011077705377,0,0.50499367161734,20.3121699752322,6.2,6.2,5
1,12,0.4,0,0,5,100,0.489275951902336,0,0.503460027929398,20.3121699752322,7.1,7.2,6
3,12,0.4,0,0,5,100,0.339633989006845,0.0750037550804468,0.490398966788938,20.3121699752322,8.91500075101609,9.18499924898391,8
7,12,0.4,0,0,5,100,0.221530291810466,0.87503670870434,0.380789493444397,20.3121699752322,12.6750073417409,13.0249926582591,12
12,12,0.4,0,0,5,100,0.111802268311942,2.40000476868879,0.102183675303406,20.3121699752322,17.4800009537378,17.7199990462622,17
15,12,0.4,0,0,5,100,0.0876330547011463,3.00012941625148,0.0510866025903873,20.3121699752322,20.3000258832503,20.5999741167497,20
0,15,0.4,0,0,5,100,0.990069699169119,0,0.505005217831125,20.3121699752322,6.5,6.5,5
1,15,0.4,0,0,5,100,0.51563656891308,0,0.50348851968773,20.3121699752322,7.4,7.5,6
3,15,0.4,0,0,5,100,0.377061286923639,0.0750340333883169,0.492622328819209,20.3121699752322,9.21500680667766,9.48499319332234,8
7,15,0.4,0,0,5,100,0.25929361223214,0.700042837540358,0.421420413423346,20.3121699752322,12.9400085675081,13.3599914324919,12
12,15,0.4,0,0,5,100,0.151182523486412,1.80002166959651,0.282683828063466,20.3121699752322,17.6600043339193,18.1399956660807,17
15,15,0.4,0,0,5,100,0.111816119909454,3.00000964487568,0.102227701451692,20.3121699752322,20.6000019289751,20.8999980710249,20
0,1,0.9,0,0,5,100,0.990014741546861,0,0.504995614558071,20.3121699752322,5.1,5.1,5
1,1,0.9,0,0,5,100,0.23289917938841,0.166706230503968,0.191955682057453,20.3121699752322,6.11669436135278,6.06665875389921,6
3,1,0.9,0,0,5,100,0.0695157345849982,0.233367216942447,0.0401201477007618,20.3121699752322,7.96335705185971,8.05332655661151,8
7,1,0.9,0,0,5,100,0.00198019801980198,0,0,20.3121699752322,11.4,12.1,12
12,1,0.9,0,0,5,100,0,0,0,20.3121699752322,15.9,17.1,17
15,1,0.9,0,0,5,100,0,0,0,20.3121699752322,18.6,20.1,20
0,3,0.9,0,0,5,100,0.990022069229829,0,0.504998760242892,20.3121699752322,5.3,5.3,5
1,3,0.9,0,0,5,100,0.395163679110494,0.11114787489553,0.403306852459493,20.3121699752322,6.27780351242687,6.27777042502089,6
3,3,0.9,0,0,5,100,0.217332473173596,0.466756079016119,0.187829274756776,20.3121699752322,8.32672925531128,8.20664878419678,8
7,3,0.9,0,0,5,100,0.0836702888438464,0.622229155668115,0.0453389170936354,20.3121699752322,12.0355604089677,12.1755541688664,12
12,3,0.9,0,0,5,100,0.0495049504950495,0.666716932241855,0.03,20.3121699752322,16.5667018525693,17.1666566135516,17
15,3,0.9,0,0,5,100,0,0,0,20.3121699752322,18.8,20.3,20
